"station_english_name";"station_latitude";"station_longitude"
"Siddhikali Chowk Bus Route Point";"27.682454205174547";"85.38321688771248"
"Bahakha Bazzar Bus Route Point";"27.682977";"85.386343"
"Basipukhu Toll Bus Route Point";"27.6814189";"85.3848839"
"Nasanani Toll Bus Route Point";"27.6810769";"85.3845191"
"Nasanani Toll Bus Route Point";"27.6810959";"85.3847551"
"Chapaa-Cho Toll Bus Route Point";"27.6812812";"85.3855544"
"Lachhi Toll Bus Route Point";"27.6809296";"85.3861177"
"Gaarchaa Toll Bus Route Point";"27.6818179";"85.386225"
"Pacho Toll Bus Route Point";"27.681913";"85.3880033"
"Panika Bus Route Point";"27.682597";"85.3723311"
"Radheradhe Chowk Purano Bato";"27.6800128";"85.3983378"
"Hindunagar Chowk Bus Route Point";"27.6794427";"85.4011488"
"Dhungedhara Bhaktapur";"27.67866748894492";"85.40467087179422"
"Loktantrik Chowk Bus Route Point Chapagaaun Dobato";"27.650030392850155";"85.32106071710587"
"Amarawati Bus Route Point";"27.67382568084693";"85.34260924905539"
"KhariBot Balkumari Chok";"27.67025631703383";"85.338239595294"
"B&B Bus Route Point";"27.6643469";"85.3301561"
"New Baneshwor Bijulibazar";"27.6886013";"85.3347051"
"New Baneshwor Anamnagar";"27.69033184063329";"85.33589098602535"
"Thecho Bus Route Point";"27.612573";"85.31991"
"Bijuli Bazar Hanumanthan";"27.692149013543013";"85.33019933849573"
"Tasinchok Bus Route Point";"27.6075248";"85.3363359"
"Swiming Pool Bus Route Point";"27.6601207";"85.3267068"
"Jwagal Chowk Bus Route Point";"27.6854662";"85.3182149"
"Engineering Campus Bus Route Point";"27.6822455";"85.3195024"
"Bhanjyang Jharuwarashi";"27.61200081659778";"85.33836767077446"
"Pulchowk Bus Route Point";"27.6767824";"85.3161764"
"Santaneshwar Mahadev Bus Route Point";"27.6148736";"85.3428698"
"Badegaun Bus Route Point";"27.6178207";"85.3527188"
"Medical Chowk Bus Route Point";"27.7194917";"85.3028512"
"Taukhel Bus Route Point";"27.611521014611977";"85.35749249160288"
"Gitangali Chowk Bus Route Point";"27.7193588";"85.304997"
"Thaiba Bus Route Point";"27.6247221";"85.3480625"
