"station_id","station_english_name","station_nepali_name","station_latitude","station_longitude"
"1157","Kapan Saataley Chowk Bus Route Point","कपन सात तले","27.7269755","85.3504443"
"1158","Narayan Chowk Bus Route Point","नारायण चोक","27.728407472946106","85.3517971560359"
"1159","Pancha Kumari Bus Route Point","पंच कुमारी","27.7291408","85.3534913"
"1160","Milan Chowk Kapan","मिलन चोक कपन","27.7298625","85.3550363"
"1161","Tenzing Chowk Bus Route Point","तेन्जिंग चोक","27.7287989","85.3591776"
"1162","Gairi Gaun Hallchowk","गैरीगाउँ हलचोक","27.722963","85.2771503"
"1163","Chabahil Bus Route Point","चाबहिल","27.71712146244321","85.34657891839744"
"1164","Shanti Goreto Bus Route Point","शान्ति गोरेटो","27.71785991018637","85.34794382750988"
"1165","Annapurna Chok Bus Route Point","अन्नपुर्ण चोक","27.7224953","85.2927741"
"1168","Gangahall Bus Route Point","गंगा हल","27.7323293","85.3053685"
"1169","Satsang Bus Route Point","सत्संग","27.7359901","85.3216186"
"1171","Basundhara Chauki Bus Route Point","बसुन्धरा चौकी","27.7380578","85.3250223"
"1172","Chardobato Bode","चारदोबाटो बोडे","27.689932836356363","85.39043739438057"
"1173","Jayabageshwori Bus Route Point","जयबागेश्वरी","27.710406048002646","85.34419711679219"
"1174","Bode Planning Bus Route Point","बोडे प्लान्निंग","27.691992858392037","85.39409793913364"
"1175","Siddhikali Chowk Bus Route Point","सिद्धिकाली ","27.682454205174547","85.38321688771248"
"1176","Bahakha Bazzar Bus Route Point","बाखाबजार","27.682977","85.386343"
"1177","Basipukhu Toll Bus Route Point","बसीपुखु टोल","27.6814189","85.3848839"
"1178","Nasanani Toll Bus Route Point","नसानानी","27.6810769","85.3845191"
"1179","Nasanani Toll Bus Route Point","नासानानी टोल","27.6810959","85.3847551"
"1180","Chapaa-Cho Toll Bus Route Point","छापा-चो टोल","27.6812812","85.3855544"
"1181","Lachhi Toll Bus Route Point","लाछी","27.6809296","85.3861177"
"1182","Gaarchaa Toll Bus Route Point","गारछा टोल","27.6818179","85.386225"
"1183","Pacho Toll Bus Route Point","पाको टोल","27.681913","85.3880033"
"1185","Panika Bus Route Point","प.नि.का","27.682597","85.3723311"
"1186","Radheradhe Chowk Purano Bato","राधेराधे पुरानो बाटो","27.6800128","85.3983378"
"1187","Hindunagar Chowk Bus Route Point","हिन्दुनगर चोक","27.6794427","85.4011488"
"1188","Dhungedhara Bhaktapur","ढुंगेधारा चोक भक्तपुर","27.67866748894492","85.40467087179422"
"1190","Loktantrik Chowk Bus Route Point Chapagaaun Dobato","लोकतान्त्रिक चोक चापागाउँ दोबाटो","27.650030392850155","85.32106071710587"
"1191","Amarawati Bus Route Point","अमरावती","27.67382568084693","85.34260924905539"
"1192","KhariBot Balkumari Chok","खरीबोट बालकुमारी चोक","27.67025631703383","85.338239595294"
"1194","B&B Bus Route Point","बि एंड बि","27.6643469","85.3301561"
"1195","New Baneshwor Bijulibazar","नया बानेश्वर बिजुलीबजार","27.6886013","85.3347051"
"1196","New Baneshwor Anamnagar","नया बानेश्वर अनामनगर","27.69033184063329","85.33589098602535"
"1197","Thecho Bus Route Point","ठेचो","27.612573","85.31991"
"1198","Bijuli Bazar Hanumanthan","बिजुली बजार हनुमानस्थान","27.692149013543013","85.33019933849573"
"1200","Tasinchok Bus Route Point","तासिन्चोक","27.6075248","85.3363359"
"1201","Swiming Pool Bus Route Point","स्विमिंग पूल ","27.6601207","85.3267068"
"1202","Jwagal Chowk Bus Route Point","ज्वागल चोक","27.6854662","85.3182149"
"1203","Engineering Campus Bus Route Point","इन्जीनियरिंग क्याम्पस","27.6822455","85.3195024"
